"Stratum","Test","Sensitivity","Specificity","Youden"
"Established keratoconus vs normal","Scheimpflug tomography","0.976 [0.961, 0.987]","0.985 [0.970, 0.994]","0.961 [0.939, 0.977]"
"Established keratoconus vs normal","Placido topography","0.966 [0.936, 0.984]","0.980 [0.956, 0.994]","0.946 [0.906, 0.971]"
"Established keratoconus vs normal","Biomechanics (Corvis ST)","0.925 [0.821, 0.979]","0.971 [0.906, 0.996]","0.896 [0.773, 0.962]"
"Established keratoconus vs normal","OCT","0.959 [0.904, 0.988]","0.979 [0.935, 0.996]","0.938 [0.866, 0.977]"
"Early / subclinical keratoconus vs normal","Scheimpflug tomography","0.965 [0.921, 0.988]","0.955 [0.896, 0.986]","0.920 [0.849, 0.963]"
"Early / subclinical keratoconus vs normal","Placido topography","0.652 [0.218, 0.946]","0.904 [0.594, 0.994]","0.555 [0.063, 0.895]"
"Early / subclinical keratoconus vs normal","Biomechanics (Corvis ST)","0.971 [0.848, 0.999]","0.955 [0.775, 0.998]","0.926 [0.697, 0.993]"
"Early / subclinical keratoconus vs normal","OCT","0.985 [0.888, 1.000]","0.989 [0.909, 1.000]","0.974 [0.830, 1.000]"
