"Covariate","Sens_Beta","Sens_LCI","Sens_UCI","Sens_Sig","Spec_Beta","Spec_LCI","Spec_UCI","Spec_Sig"
"prevalence","0.0261245644317588","0.0136899765274666","0.0394361882252111","SIGNIFICANT","-0.00855689801300179","-0.0159645022965829","-0.00116824269609394","SIGNIFICANT"
"economical","-0.0167823083848831","-0.849308707293196","0.837027440122026","NS","0.493101505408356","-0.153887637462166","1.1120033230533","NS"
"healthcare","0.000146518964294226","-0.0768032105992796","0.0764294334471688","NS","0.0206174890404488","-0.0777568606456277","0.121109226205572","NS"
"cameratype","-0.0583325721215324","-0.0866290166805412","-0.0322971064667193","SIGNIFICANT","0.0191573660140944","0.00657663579826087","0.0315469148469043","SIGNIFICANT"
"vendor","-0.220648795805321","-0.738869013497471","0.2910193911778","NS","-0.049848600150988","-0.461833967736327","0.377837913498842","NS"
"dilation","-0.0454726774309748","-0.213858886847574","0.123498611998529","NS","-0.0230498119737819","-0.0549475179425846","0.00859120935376662","NS"
"diagnostic criteria","-0.00622892219136323","-0.0820002255652002","0.0670471610970242","NS","-0.000263351925413468","-0.00877006692141893","0.00772851545023532","NS"
