"study_label","cohort_id","two_node","tp","fp","tn","fn","n_total","prevalence","sensitivity","specificity","youden","modality_std","validation_std"
"Upadhyaya (2025)","BLK0098","AI only",20,19,258,2,299,0.0735785953177258,0.909090909090909,0.931407942238267,0.840498851329176,"Fundus","External"
"Upadhyaya (2025b)","BLK0099","AI only",20,19,258,2,299,0.0735785953177258,0.909090909090909,0.931407942238267,0.840498851329176,"Fundus","External"
"Wang (2021)","BLK0100","AI only",307,7,340,32,686,0.494169096209913,0.905604719764012,0.979827089337176,0.885431809101187,"Fundus","Internal"
"Wei (2024)","BLK0101","AI only",176,29,1371,24,1600,0.125,0.88,0.979285714285714,0.859285714285714,"Fundus","Internal"
"Wu (2024)","BLK0102","AI only",19,1,81,6,107,0.233644859813084,0.76,0.98780487804878,0.74780487804878,"Mixed/Other","Internal"
"Xu (2021)","BLK0104","AI only",745,132,873,132,1882,0.465993623804463,0.849486887115165,0.86865671641791,0.718143603533076,"Fundus","External"
"Xu (2025)","BLK0105","AI only",77,21,312,10,420,0.207142857142857,0.885057471264368,0.936936936936937,0.821994408201305,"Fundus","Other/unclear"
"Yeung (2023)","BLK0106","Reader only",18,4,315,4,341,0.0645161290322581,0.818181818181818,0.987460815047022,0.80564263322884,"Fundus","External"
"Yip (2024)","BLK0107","AI only",104,19,113,7,243,0.45679012345679,0.936936936936937,0.856060606060606,0.792997542997543,"Fundus","External"
"Zhang (2022)","BLK0110","AI only",1646,94,3047,67,4854,0.352904820766378,0.960887332165791,0.970073225087552,0.930960557253343,"Fundus","Internal"
