analysis_set,endpoint_scope,comparative_studies,comparative_edges,active_nodes,prespecified_nodes,connected_for_all_prespecified_nodes,components,interpretation
5-node choroidal/dominant crude,crude follow-up local control,2,4,I-125 plaque; Photon SRS/FSRT; Proton beam; Ru-106 plaque,Carbon ion; I-125 plaque; Photon SRS/FSRT; Proton beam; Ru-106 plaque,no,I-125 plaque; Photon SRS/FSRT; Proton beam; Ru-106 plaque | Carbon ion,Network remains disconnected or missing a prespecified node
5-node uveal-relaxed crude,crude follow-up local control; uveal melanoma population relaxed,3,7,I-125 plaque; Photon SRS/FSRT; Proton beam; Ru-106 plaque,Carbon ion; I-125 plaque; Photon SRS/FSRT; Proton beam; Ru-106 plaque,no,I-125 plaque; Photon SRS/FSRT; Proton beam; Ru-106 plaque | Carbon ion,Network remains disconnected or missing a prespecified node
5-node uveal-relaxed crude plus Kim 5y KM,mixed crude plus 5-year KM local control; uveal melanoma population relaxed,4,8,Carbon ion; I-125 plaque; Photon SRS/FSRT; Proton beam; Ru-106 plaque,Carbon ion; I-125 plaque; Photon SRS/FSRT; Proton beam; Ru-106 plaque,yes,Carbon ion; I-125 plaque; Photon SRS/FSRT; Proton beam; Ru-106 plaque,NMA feasible as a connected graph
3-node choroidal/dominant crude,crude follow-up local control,1,1,Brachytherapy; Proton,Brachytherapy; Carbon ion; Proton,no,Brachytherapy; Proton | Carbon ion,Network remains disconnected or missing a prespecified node
3-node uveal-relaxed crude,crude follow-up local control; uveal melanoma population relaxed,2,2,Brachytherapy; Proton,Brachytherapy; Carbon ion; Proton,no,Brachytherapy; Proton | Carbon ion,Network remains disconnected or missing a prespecified node
