duplicate_key,record_id,study_id,title,year,doi,analysis_duplicate_action,preferred_record_id
10.1016/j.heliyon.2023.e23447,SCR00321,Gill 2024,Incidence risk factors and outcomes of cataract surgery after plaque brachytherapy for posterior uveal melanoma,2024,10.1016/j.heliyon.2023.e23447,keep,SCR00321
10.1016/j.heliyon.2023.e23447,SCR06356,Gill VT 2024,"Incidence, risk factors and outcomes of cataract surgery after plaque brachytherapy for posterior uveal melanoma",2024,10.1016/j.heliyon.2023.e23447,exclude_duplicate_from_analysis,SCR00321
coms_report_19_local_treatment_failure,SCR00797,Jampol 2020,The COMS Randomized Trial of Iodine 125 Brachytherapy for Choroidal Melanoma: IV. Local Treatment Failure and Enucleation in the First 5 Years after Brachytherapy. COMS Report No. 19,2020,10.1016/j.ophtha.2020.01.032,keep,SCR00797
coms_report_19_local_treatment_failure,SCR06487,Jampol 2020,The COMS Randomized Trial of Iodine 125 Brachytherapy for Choroidal Melanoma IV. Local Treatment Failure and Enucleation in the First 5 Years after Brachytherapy. COMS Report No. 19,2020,,exclude_duplicate_from_analysis,SCR00797
10.2174/1874364101509010131,SCR01394,Tsui 2015,"Visual Acuity, Contrast Sensitivity and Color Vision Three Years After Iodine-125 Brachytherapy for Choroidal and Ciliary Body Melanoma.",2015,10.2174/1874364101509010131,keep,SCR01394
10.2174/1874364101509010131,SCR08183,Tsui 2015,"Visual acuity, contrast sensitivity and color vision three years after iodine-125 brachytherapy for choroidal and ciliary body melanoma",2015,10.2174/1874364101509010131,exclude_duplicate_from_analysis,SCR01394
